,Latitude,Longitude,StopName,StopStatus,VehDistAlongRoute,VehicleRef
0,40.73237,-73.98183,1 AV/E 17 ST,approaching,2604.72,5912
1,40.723748,-73.988108,1 AV / 4 ST,< 1 stop away,3621.4700000000003,5263
0,40.735009,-73.979905,1 AV/E 20 ST,at stop,2939.93,5912
1,40.72432,-73.987693,1 AV / 4 ST,approaching,3694.03,5263
0,40.7354,-73.979623,1 AV/E 23 ST,< 1 stop away,2989.5099999999998,5912
1,40.725913,-73.986536,1 AV/ST MARKS PL,< 1 stop away,3896.2000000000003,5263
0,40.735462,-73.979578,1 AV/E 23 ST,< 1 stop away,2997.37,5912
1,40.726196,-73.986329,1 AV/ST MARKS PL,< 1 stop away,3932.2300000000005,5263
0,40.737361,-73.978193,1 AV/E 25 ST,approaching,3238.5899999999997,5912
1,40.726244,-73.986294,1 AV/ST MARKS PL,< 1 stop away,3938.2300000000005,5263
0,40.738026,-73.977707,1 AV/E 25 ST,approaching,3323.2,5912
1,40.726787,-73.985898,1 AV/ST MARKS PL,approaching,4007.2700000000004,5263
0,40.738026,-73.977707,1 AV/E 25 ST,approaching,3323.2,5912
1,40.728521,-73.984638,1 AV/E 11 ST,approaching,4227.34,5263
0,40.738084,-73.977665,1 AV/E 25 ST,approaching,3330.56,5912
1,40.7305,-73.983193,1 AV/E 14 ST,< 1 stop away,4478.88,5263
0,40.739139,-73.976896,1 AV/E 27 ST,approaching,3464.48,5912
1,40.7305,-73.983193,1 AV/E 14 ST,< 1 stop away,4478.88,5263
0,40.739871,-73.976364,1 AV/E 28 ST,approaching,3557.47,5912
1,40.731214,-73.982671,1 AV/E 14 ST,approaching,4569.610000000001,5263
0,40.740217,-73.976112,1 AV/E 28 ST,approaching,3601.3599999999997,5912
1,40.732825,-73.981498,1 AV/E 17 ST,approaching,4774.299999999999,5263
0,40.740533,-73.97588,1 AV/E 28 ST,at stop,3641.58,5912
1,40.734623,-73.980189,1 AV/E 20 ST,approaching,5002.549999999999,5263
0,40.734704,-73.98013,1 AV/E 20 ST,approaching,5012.889999999999,5263
1,40.741119,-73.975455,1 AV/E 31 ST,approaching,3715.95,5912
0,40.741676,-73.975049,1 AV/E 31 ST,approaching,3786.65,5912
1,40.735379,-73.979638,1 AV/E 23 ST,< 1 stop away,5098.64,5263
0,40.741793,-73.974964,1 AV/E 31 ST,at stop,3801.54,5912
1,40.736659,-73.978707,1 AV/E 23 ST,approaching,5261.14,5263
0,40.741793,-73.974964,1 AV/E 31 ST,at stop,3801.54,5912
1,40.736659,-73.978707,1 AV/E 23 ST,approaching,5261.14,5263
0,40.741851,-73.974921,1 AV/E 31 ST,at stop,3808.98,5912
1,40.737401,-73.978164,1 AV/E 25 ST,approaching,5355.51,5263
0,40.737985,-73.977737,1 AV/E 25 ST,approaching,5429.73,5263
1,40.742378,-73.974538,1 AV/E 34 ST,< 1 stop away,3875.8199999999997,5912
0,40.738011,-73.977718,1 AV/E 25 ST,approaching,5432.96,5263
